KnessetNum,FactionID,FactionName
25,1108.0,הימין הממלכתי 
25,1096.0,הליכוד 
25,1098.0,המחנה הממלכתי 
25,1100.0,העבודה
25,1105.0,הציונות הדתית בראשות בצלאל סמוטריץ'
25,1095.0,"התאחדות הספרדים שומרי תורה תנועתו של מרן הרב עובדיה יוסף זצ""ל"
25,1103.0,"חד""ש-תע""ל"
25,1109.0,"חה""כ עידן רול"
25,1101.0,יהדות התורה
25,1102.0,יש עתיד
25,1104.0,ישראל ביתנו
25,1107.0,נעם - בראשות אבי מעוז
25,1106.0,עוצמה יהודית בראשות איתמר בן גביר
25,1099.0,"רע""ם"
24,1083.0,אגודת ישראל
24,1082.0,דגל התורה
24,1087.0,דרך ארץ
24,962.0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
24,1085.0,המחנה הממלכתי
24,963.0,העבודה
24,961.0,הציונות הדתית
24,1089.0,"הרשימה המשותפת (חד""ש, בל""ד)"
24,973.0,הרשימה הערבית המאוחדת
24,1090.0,"התנועה הערבית להתחדשות (תע""ל)"
24,1080.0,"חה""כ עמיחי שיקלי"
24,1092.0,חופש כלכלי
24,965.0,יהדות התורה והשבת - אגודת ישראל דגל התורה
24,1091.0,ימינה
24,966.0,ימינה בראשות נפתלי בנט
24,967.0,יש עתיד
24,968.0,ישראל ביתנו
24,969.0,כחול לבן
24,970.0,מרצ
24,1084.0,"נעם - בראשות חה""כ אבי מעוז"
24,1081.0,עוצמה יהודית
24,974.0,עתיד אחד
24,971.0,"ש""ס"
24,972.0,תקווה חדשה
24,1088.0,תקווה חדשה - אחדות לישראל
23,1071.0,אגודת ישראל
23,957.0,גשר
23,1072.0,דגל התורה
23,954.0,דרך ארץ
23,1073.0,האיחוד הלאומי
23,942.0,הליכוד
23,958.0,העבודה הישראלית
23,1074.0,הרשימה המשותפת
23,952.0,"חה""כ ע'דיר כמאל מריח"
23,944.0,יהדות התורה והשבת אגודת ישראל - דגל התורה
23,948.0,ימינה
23,950.0,יש עתיד
23,955.0,"יש עתיד - תל""ם"
23,945.0,ישראל ביתנו בראשות אביגדור ליברמן
23,946.0,כחול לבן
23,959.0,מרצ
23,1075.0,"רע""מ – רשימת האיחוד הערבי"
23,947.0,"ש""ס"
23,951.0,"תל""ם - תנועה לאומית ממלכתית"
23,1076.0,"תע""ל – התנועה הערבית להתחדשות"
22,1065.0,אגודת ישראל
22,1068.0,"בל""ד - ברית לאומית דמוקרטית"
22,1066.0,דגל התורה
22,941.0,הימין החדש
22,933.0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
22,939.0,המחנה הדמוקרטי
22,934.0,העבודה - גשר
22,1067.0,"חד""ש - חזית דמוקרטית לשלום ושוויון"
22,937.0,ישראל ביתנו בראשות אביגדור ליברמן
22,938.0,כחול לבן
22,1069.0,"רע""מ - רשימת האיחוד הערבי"
22,932.0,"ש""ס"
22,1070.0,"תע""ל - התנועה הערבית לשינוי"
21,1063.0,אגודת ישראל
21,1064.0,דגל התורה
21,923.0,הבית היהודי - האיחוד הלאומי
21,931.0,הליכוד בהנהגת בנימין נתניהו לראשות הממשלה
21,925.0,העבודה
21,1061.0,"חד""ש"
21,929.0,ישראל ביתנו בראשות אביגדור ליברמן
21,930.0,כולנו בראשות משה כחלון
21,917.0,כחול לבן
21,926.0,מרצ
21,918.0,"ש""ס"
21,1062.0,"תע""ל"
20,1056.0,אגודת ישראל
20,1055.0,דגל התורה
20,907.0,הבית היהודי בראשות נפתלי בנט
20,916.0,הימין החדש
20,882.0,הליכוד
20,902.0,המחנה הציוני
20,914.0,העבודה הישראלית
20,903.0,"הרשימה המשותפת (חד""ש, רע""ם, בל""ד ותע""ל)"
20,915.0,התנועה
20,913.0,"חה""כ אורלי לוי-אבקסיס"
20,904.0,יש עתיד
20,905.0,ישראל ביתנו
20,906.0,כולנו בראשות משה כחלון
20,909.0,מרצ
20,910.0,"ש""ס"
20,1057.0,"תע""ל – בראשות אחמד טיבי"
19,802.0,"בל""ד - אלתג'מוע אלווטני אלדמוקרטי"
19,803.0,"הבית היהודי מייסודם של האיחוד הלאומי והמפד""ל החדשה"
19,804.0,הליכוד - ישראל ביתנו 
19,842.0,הליכוד - תנועה לאומית ליברלית
19,805.0,העבודה בראשות שלי יחימוביץ'
19,813.0,התנועה בראשות ציפי לבני
19,806.0,"חד""ש - החזית הדמוקרטית לשלום ושוויון"
19,807.0,"יהדות התורה והשבת, אגודת ישראל - דגל התורה"
19,812.0,יש עתיד בראשות יאיר לפיד
19,843.0,ישראל ביתנו
19,808.0,מרצ - השמאל של ישראל
19,809.0,קדימה בראשות שאול מופז
19,1053.0,"רע""מ - רשימת האיחוד הערבי"
19,811.0,שס התאחדות הספרדים העולמית שומרי תורה
19,1054.0,"תע""ל - התנועה הערבית להתחדשות"
18,742.0,איחוד לאומי
18,744.0,"אלתג'מוע אלווטני אלדמוקרטי - בל""ד"
18,743.0,"הבית היהודי - מפד""ל החדשה"
18,748.0,"הליכוד - אח""י בהנהגת בנימין נתניהו לראשות הממשלה"
18,750.0,העבודה
18,1047.0,העבודה בראשות אהוד ברק
18,762.0,העצמאות
18,752.0,הרשימה הערבית המאוחדת - התנועה הערבית להתחדשות
18,753.0,התאחדות הספרדים העולמית שומרי תורה
18,1048.0,התנועה בראשות ציפי לבני
18,749.0,התנועה החדשה מרצ
18,1049.0,"חה""כ חיים אמסלם"
18,745.0,חזית דמוקרטית לשלום ושוויון
18,746.0,יהדות התורה והשבת אגודת ישראל - דגל התורה
18,747.0,ישראל ביתנו בראשות אביגדור ליברמן
18,1050.0,"מד""ע - מפלגה דמוקרטית ערבית"
18,1051.0,עוצמה לישראל
18,751.0,קדימה - עם ציפי לבני לראשות הממשלה
17,1039.0,אגודת ישראל
17,1040.0,"אח""י - ארץ, חברה, יהדות"
17,626.0,"אלתג'מוע אלווטני אל דימוקרטי-בל""ד"
17,634.0,גיל-גימלאי ישראל לכנסת
17,1041.0,דגל התורה
17,1042.0,"הבית היהודי מיסודם של המפד""ל"
17,722.0,הדרך הטובה
17,690.0,הליכוד עם בנימין נתניהו לראשות הממשלה
17,1044.0,העבודה בראשות אהוד ברק
17,624.0,העבודה-מימד בראשות עמיר פרץ
17,636.0,הרשימה הערבית המאוחדת התנועה הערבית להתחדשות
17,630.0,חזית דמוקרטית לשלום ושוויון
17,632.0,יהדות התורה והשבת אגודת ישראל-דגל התורה
17,638.0,ישראל ביתנו בראשות אביגדור ליברמן
17,1045.0,מולדת האיחוד הלאומי
17,1046.0,מימד
17,640.0,מרצ-ישראל חברתית דמוקרטית
17,622.0,קדימה-עם אהוד אולמרט לראשות הממשלה
17,628.0,"ש""ס-התאחדות הספרדים העולמית שומרי תורה"
16,424.0,אגודת ישראל
16,542.0,אחריות לאומית
16,51.0,"בל""ד (ברית לאומית דמוקרטית)"
16,422.0,דגל התורה
16,45.0,האיחוד הלאומי - ישראל ביתנו - מולדת - תקומה
16,584.0,האיחוד הלאומי - מולדת - תקומה
16,586.0,הבית הלאומי
16,604.0,החזית הדמוקרטית לשלום ולשוויון
16,24.0,הליכוד
16,564.0,הסיעה החילונית
16,502.0,העבודה - מימד - עם אחד
16,42.0,העבודה-מימד בראשות מצנע
16,52.0,הרשימה הערבית המאוחדת
16,44.0,התאחדות הספרדים העולמית שומרי תורה
16,582.0,"חה""כ מיכאל נודלמן"
16,590.0,ישראל ביתנו
16,49.0,מפלגה דתית לאומית
16,522.0,מרצ - יחד והבחירה הדמוקרטית
16,444.0,ציונות לאומית דתית מתחדשת
16,462.0,"צל""ש - ציונות ליברליות שוויון"
16,562.0,קדימה
16,1078.0,שינוי
16,43.0,שינוי התנועה החילונית
16,602.0,תנועה ערבית להתחדשות
15,687.0,אחדות לאומית - הברית הלאומית המתקדמת
15,20.0,"בל""ד"
15,12.0,גשר
15,13.0,דרך חדשה
15,679.0,האיחוד הלאומי
15,7.0,האיחוד הלאומי - ישראל ביתנו
15,17.0,הבחירה הדמוקרטית
15,4.0,הליכוד
15,23.0,העבודה - מימד
15,22.0,התנועה הערבית להתחדשות
15,14.0,"חד""ש"
15,21.0,חרות - התנועה הלאומית
15,10.0,יהדות התורה
15,3.0,ישראל אחת
15,11.0,ישראל בעלייה
15,685.0,לב
15,9.0,מפלגה דתית לאומית
15,18.0,מפלגה לאומית ערבית
15,15.0,מפלגת המרכז
15,6.0,מרצ
15,19.0,עם אחד
15,16.0,"רע""ם"
15,5.0,"ש""ס"
15,8.0,שינוי
14,1034.0,אגודת ישראל
14,657.0,ברית לאומית דמוקרטית
14,635.0,גשר
14,625.0,דגל התורה
14,633.0,הדרך השלישית
14,613.0,הליכוד
14,619.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס"
14,1035.0,"חה""כ דוד צוקר"
14,1036.0,"חה""כ עמנואל זיסמן"
14,643.0,חזית דמוקרטית לשלום ושוויון
14,647.0,חרות - התנועה הלאומית
14,631.0,יהדות התורה
14,649.0,ישראל במרכז
14,639.0,ישראל בעלייה
14,637.0,ליכוד - גשר - צומת
14,641.0,"מד""ע - רע""ם"
14,627.0,מולדת
14,615.0,מפלגה דתית לאומית
14,611.0,מפלגת העבודה הישראלית
14,629.0,מרצ
14,651.0,"עלי""ה - עמנו למען ישראל המתחדשת"
14,665.0,עם אחד
14,623.0,צומת
14,667.0,שינוי
14,661.0,תקומה
13,1028.0,אגודת ישראל
13,601.0,גשר
13,1029.0,דגל התורה
13,599.0,הדרך השלישית
13,573.0,הליכוד
13,577.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס"
13,1030.0,"חה""כ אפרים גור"
13,1031.0,"חה""כ יוסף בא-גד"
13,1032.0,"חה""כ יוסף עזרן"
13,1033.0,"חה""כ נאוה ארד"
13,609.0,חזית דמוקרטית לשלום ושוויון
13,589.0,יהדות התורה
13,595.0,ימין ישראל
13,593.0,יעוד
13,583.0,"מד""ע - מפלגה דמוקרטית ערבית"
13,585.0,מולדת
13,575.0,מפלגה דתית לאומית
13,571.0,מפלגת העבודה הישראלית
13,587.0,מרצ
13,597.0,עתיד
13,581.0,צומת
12,537.0,אגודת ישראל
12,559.0,גאולת ישראל
12,547.0,דגל התורה
12,523.0,הליכוד
12,539.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס"
12,567.0,חזית דמוקרטית לשלום ושוויון
12,545.0,"מד""ע - מפלגה דמוקרטית ערבית"
12,549.0,מולדת
12,527.0,מפלגה דתית לאומית
12,551.0,מפלגה ליברלית חדשה
12,521.0,מפלגת העבודה הישראלית
12,561.0,מרצ
12,555.0,פנתרים שחורים
12,543.0,צומת
12,529.0,רשימה מתקדמת לשלום
12,531.0,תחייה
11,501.0,אגודת ישראל
11,479.0,הליכוד
11,503.0,"התאחדות הספרדים שומרי תורה - תנועת ש""ס"
11,1025.0,"חה""כ שמעון בן-שלמה"
11,517.0,חזית דמוקרטית לשלום ושוויון
11,499.0,כך
11,509.0,"מד""ע - מפלגה דמוקרטית ערבית"
11,491.0,מורשה
11,515.0,מערך
11,483.0,מפלגה דתית לאומית
11,481.0,מפלגת פועלים מאוחדת
11,507.0,צומת
11,495.0,"ר""ץ"
11,487.0,רשימה מתקדמת לשלום
11,497.0,שינוי
11,493.0,תחייה
10,463.0,אגודת ישראל
10,441.0,הליכוד
10,1023.0,התנועה להתחדשות ציונית חברתית
10,1020.0,"חה""כ חיים דרוקמן"
10,473.0,חזית דמוקרטית לשלום ושוויון
10,445.0,חזית דתית לאומית
10,471.0,מערך
10,1021.0,"ר""ץ"
10,459.0,שינוי
10,455.0,תחייה
9,409.0,אגודת ישראל
9,397.0,הליכוד
9,1008.0,"חה""כ יוסף תמיר"
9,435.0,חזית דמוקרטית לשלום ושוויון
9,439.0,יעד
9,427.0,ישראל אחת
9,381.0,ליברלים עצמאיים
9,431.0,מערך
9,399.0,מפלגה דתית לאומית
9,429.0,פועלי אגודת ישראל
9,405.0,"ר""ץ"
9,407.0,שינוי - מפלגת המרכז
9,689.0,"תחייה - בנא""י"
9,421.0,"תל""ם - התנועה להתחדשות ממלכתית"
8,355.0,הליכוד
8,369.0,הרשימה הערבית המאוחדת
8,997.0,"חה""כ מרדכי בן-פורת"
8,391.0,חזית דמוקרטית לשלום ולשוויון
8,379.0,חזית דתית תורתית
8,361.0,יהדות התורה ­ אגודת ישראל ודתיים בלתי מפלגתיים
8,387.0,ליברלים עצמאיים
8,385.0,מוקד
8,375.0,מערך
8,357.0,מפלגה דתית לאומית
8,1000.0,מרכז חופשי
8,1002.0,סיעה סוציאליסטית עצמאית
8,1004.0,"ר""ץ"
7,319.0,אגודת ישראל
7,325.0,גוש חרות ליברלים
7,339.0,הרשימה הממלכתית
7,993.0,"חה""כ שלום כהן"
7,347.0,ליברלים עצמאיים
7,345.0,מוקד
7,994.0,מחנה רדיקלי ישראלי
7,337.0,מערך
7,315.0,מפלגה דתית לאומית
7,333.0,מפלגה קומוניסטית ישראלית
7,349.0,מרכז חופשי
7,331.0,פועלי אגודת ישראל
7,351.0,רשימה קומוניסטית חדשה
6,283.0,אגודת ישראל
6,287.0,גוש חרות ליברלים
6,307.0,המרכז החופשי
6,311.0,העולם הזה - כוח חדש
6,305.0,ליברלים עצמאיים
6,299.0,מערך
6,303.0,מפלגה דתית לאומית
6,295.0,מפלגה קומוניסטית ישראלית
6,309.0,רשימה קומוניסטית חדשה
5,245.0,אגודת ישראל
5,261.0,אחדות העבודה - פועלי ציון
5,255.0,גוש חרות ליברלים
5,273.0,ליברלים עצמאיים
5,269.0,מפלגה דתית לאומית
5,271.0,מפלגה ליברלית ישראלית
5,265.0,מפלגה קומוניסטית ישראלית
5,251.0,מפלגת פועלי ארץ-ישראל
5,243.0,מפלגת פועלים מאוחדת
5,275.0,רשימה קומוניסטית חדשה
5,257.0,רשימת פועלים ישראלית
5,253.0,תנועת החרות
4,215.0,אגודת ישראל
4,231.0,אחדות העבודה - פועלי ציון
4,237.0,מפלגה דתית לאומית
4,241.0,מפלגה ליברלית ישראלית
4,235.0,מפלגה קומוניסטית ישראלית
4,219.0,מפלגת פועלי ארץ-ישראל
4,213.0,מפלגת פועלים מאוחדת
4,221.0,תנועת החרות
3,980.0,אגודת ישראל - פועלי אגודת ישראל
3,203.0,אחדות העבודה - פועלי ציון
3,981.0,מפלגה דתית לאומית
3,199.0,מפלגה פרוגרסיבית
3,205.0,מפלגה קומוניסטית ישראלית
3,189.0,מפלגת פועלי ארץ-ישראל
3,185.0,מפלגת פועלים מאוחדת
3,195.0,ציונים כלליים
3,193.0,תנועת החרות
2,171.0,אגודת ישראל
2,163.0,אחדות העבודה - פועלי ציון
2,173.0,הפועל המזרחי
2,161.0,מפלגה פרוגרסיבית
2,167.0,מפלגה קומוניסטית ישראלית
2,149.0,מפלגת פועלי ארץ-ישראל
2,147.0,מפלגת פועלים מאוחדת
2,165.0,פועלי אגודת ישראל
2,155.0,ציונים כלליים
2,153.0,תנועת החרות
1,145.0,"ויצ""ו"
1,131.0,חזית דתית מאוחדת
1,123.0,מפלגה פרוגרסיבית
1,129.0,מפלגה קומוניסטית ישראלית
1,109.0,מפלגת פועלי ארץ-ישראל
1,105.0,מפלגת פועלים מאוחדת
1,119.0,ספרדים ועדות מזרח
1,117.0,ציונים כלליים
1,115.0,תנועת החרות
